entity_id,course_code
3,jbpmpd
4,mobdevdm
6,rdataana
8,existdb
9,existdbint
240,javafun
241,excelvbai
242,mysqladm
243,sqlfun
244,strapra
245,jmeterfun
246,drpal8views
247,phpdev
248,drupal7dev
249,umlad
251,ccsint
252,svnusr
253,drupalsn
254,phpopt
256,sqlmysqladv
257,jmeteradv
258,jmeterwebapp
259,drupal8dev
261,designpat
262,wssoapwsdl
263,soaarchmgr
264,bpmana
265,ocup-2-f100
266,uml2itmprep
267,uml2advprep
268,excelafd
269,excelstatsda
270,stockexin
271,html
272,soabusi
273,brmsdrools
274,soad
275,subvadmin
277,bpaumlbpmn
278,agilescrum
279,jsajax
280,soa2eda
281,soabpmn
282,oceb2f100
283,apacheadmin
284,pythonprog
285,drupal8admin
286,drupal8webapp
287,kshprog
288,mrkfct
289,ecomdrupal
291,perl
292,drupal7themes
293,gimpfun
294,gimpintro
295,javaeejboss
296,javaph
297,297
300,ubtdt
301,ubtsvr
302,javaperf
303,jquery
304,drupal8themes
306,adintro
308,apachetomcat
309,stats1
310,stats2
311,lpic1-101
312,lpic2-201
313,313
314,forexcurmkt
315,babokiiba
316,busiana
317,sixsigmayb
318,mtstatda
320,320
321,struts2
322,as3
323,lpic1-102
324,lpic2-202
325,scrummanexec
326,scrumpdtown
327,manbppm
328,posh
331,lms
332,drupalseo
333,appxmlxsdxsl
334,bpelsvc
335,oceb2b200
336,ocebb300
337,bplanbmm
338,b2bbrandman
339,drupal7adm1
340,advsqlpt
341,oceb2t200
342,oceb2t300
344,aiint
345,gitusers
346,mercusr
349,mwadm
350,sqlsqlsvr
351,sqlmsa
352,wikiedit
353,soamlad
354,354
355,pcvs2012
356,pamvc5
357,psl5
358,pwpf45
359,dpcs
360,gitvicsubv
361,rmddvcs
362,statsman
363,oplsqlfun
364,osqlfun
365,ulshscr
366,webappd7
367,androidtest
368,androidfun
369,androidwidget
370,androidhybapp
371,javafunandroid
372,androidprog
373,373
374,oracleperftun
375,geneticsint
376,statsres
377,TesAutSel
378,378
380,rintro
381,debianadmin
382,netmrk
383,bpmn2ba
384,pgmt
385,pricestrat
386,pginttrade
387,iosprog
388,ocsmpprep
389,agilesofttest
390,ocres200
391,ocres300
392,drugdsg
393,mdlbiostruct
394,progbio
395,sccomm
396,bioinfbas
397,umlitba
398,mariadbadmin
400,androidct
401,cloudcomp
403,sixsigmagb
404,linuxsysadmin1
405,mongodbadmin
406,mongodbdev
407,xquery
409,sixsigmabb
410,subvadv
411,411
412,jcapsdae
413,jcapsdaadv
414,jcapsdaexp
415,pgsqladm
416,416
417,html5intro
418,dddintro
419,jbpmdev
420,naf
421,jqueryadv
423,423
426,uwcf
428,eaint
429,gfsjeeint
430,mql4prog
431,smtwebint
432,fumlintro
433,updmint
434,modafint
435,dodafint
436,flex4lcds3
437,asp4
439,luacomp
441,advnet2dev
442,corenet2dev
447,wfcsn
448,448
449,449
450,pmsacs
451,451
452,452
453,453
457,cissprev
460,transsqlbas
463,transsqladv
466,466
471,471
476,476
491,amlctf
492,mancomprisk
493,compmlro
494,corpgov
495,pdifinc
497,coach
502,commtm
503,commtm2
504,vsvb
506,handcc
507,hip
508,mantdev
509,pplteamman
510,pemm
511,selntro
529,bprca
530,badsp
531,presconf
532,traintrainer
534,changeman
535,rcbd
536,stratman
537,yourbb
538,credapp
539,crmcl
547,ptloadrunner
551,perftune
552,lendapp
554,ploneint
556,o11gadm
563,androiddev
564,564
567,iis7aspadm
584,tgapai
598,ksuswsf
606,jwebappjsp
637,drupalviews
667,msdxml
685,685
706,reqman
716,scrumstep
726,junit
733,bldrools
741,inkscape
743,agilescrum
750,agilescrum
751,agilescrum
752,drupal7adm1
753,excelstatsda
754,bpaumlbpmn
755,selntro
756,jmeterfun
757,umlitba
758,jmeteradv
759,gitusers
763,agilescrum
765,765
766,agilescrum
767,agilescrum
768,agilescrum
770,agilescrum
771,agilescrum
772,agilescrum
773,agilescrum
774,agilescrum
776,agilescrum
779,779
782,782
784,784
808,808
809,809
810,810
811,811
812,812
813,813
814,814
815,bpaumlbpmn
816,bpaumlbpmn
818,jmeterfun
819,wssoapwsdl
820,820
821,aspnetmvc45
822,822
823,svnusr
824,sqlfun
838,838
840,webappd7
841,webappd7
842,excelstatsda
843,apachetomcat
844,apachetomcat
845,sqlfun
846,bldrools
847,agilescrum
848,webappd7
849,agilescrum
850,agilescrum
851,rmddvcs
852,gitusers
853,mrkfct
854,xcelsius
855,855
856,agilescrum
861,scrumtrintro
862,862
863,scrumbelbintr
864,scrumtestspe
1123,gitcomp
1124,frcr
1125,1125
1126,1126
1128,brsbvr
1129,mwsemintro
1211,agilescrum
1212,jsqaci
1218,agilescrum
1339,mrkfct
2033,mt4
2034,soamlad
2037,designpat
2038,designpat
2039,designpat
2370,2370
2371,2371
2373,designpat
2375,pythonprog
2376,pythonprog
2387,atomjeeadm
2388,pythonprog
2389,iis7aspadm
2393,eaintro
2641,strapra
2642,agilescrum
2643,agilescrum
2644,agilescrum
2645,dpcs
2646,agilescrum
2647,subvadmin
2648,agilescrum
2649,pythonprog
2650,agilescrum
2651,agilescrum
2652,agilescrum
2653,agilescrum
2654,agilescrum
2655,pythonprog
2656,agilescrum
2657,agilescrum
2658,pythonprog
2659,agilescrum
2661,didactictb
2662,mwedit1
2663,gitusers
2664,agilescrum
2665,agilescrum
2666,agilescrum
2667,bpm
2676,agilescrum
2678,agilescrum
2679,agilescrum
2680,excelstatsda
2682,agilescrum
2683,agilescrum
2684,agilescrum
2685,agilescrum
2686,agilescrum
2687,agilescrum
2688,agilescrum
2689,agilescrum
2690,agilescrum
2691,agilescrum
2692,agilescrum
2693,agilescrum
2694,agilescrum
2727,absunu
2728,tcpsm
2730,2730
2731,psr
2732,javawp
2735,agiletdd
2739,gfsjeeint
2748,androidappdev
2756,2756
2764,pwin8xamlc
2765,agilekanban
2768,webappd7
2769,agilescrum
2770,agilescrum
2771,agilescrum
2772,umlad
2773,agilescrum
2775,soad
2778,umlad
2785,agilescrum
2786,agilescrum
2787,agilescrum
2789,agilescrum
2790,agilescrum
2792,agilescrum
2794,2794
2841,designpat
2842,matlabprog
2847,mdlmrah
2849,solrfts
2853,designpat
2858,mrkanar
2864,designpat
2865,designpat
2866,designpat
2867,designpat
2868,designpat
2870,2870
2880,symfewf
2881,bddtest
2882,drupalcom
2885,nginxsca
2886,wfsadm
2887,nlp
2899,2899
2906,bpmess
2909,appxmlxsdxsl
2913,2870
2914,2870
2916,wfsadm
2919,2794
2922,2794
2923,2794
2924,2794
2925,2794
2926,brmsdrools
2938,brmsdrools
2940,brmsdrools
2942,2942
2943,comawa
2947,2794
2948,agileess
2949,agilecat
2953,drupal7adm1
2955,selntro
2976,bpm
2985,designpat
2986,designpat
2991,designpat
2993,agilescrum
2998,agilescrum
3002,designpat
3014,agilescrum
3015,designpat
3016,agilescrum
3017,agilescrum
3018,agilescrum
3019,agilescrum
3020,agilescrum
3021,agilescrum
3022,agilescrum
3023,agilescrum
3024,3024
3025,3025
3026,freebsdic
3027,javaappsh
3028,3028
3029,3029
3030,3030
3031,freebsdadmin
3032,3032
3033,3033
3034,ExcelAdv
3035,3035
3036,vbaexcel
3037,vbaexceladv
3039,cprog
3040,AccIntr
3041,3041
3042,sqlmysql
3044,3044
3045,iis7aspadm
3046,pcpp
3049,3049
3050,3050
3051,dsgpat
3052,3052
3053,3053
3054,excelvbag
3055,msproj1
3056,3056
3057,3057
3058,javaprog
3059,3059
3060,javaspring
3061,javah
3062,dtp
3063,3063
3064,linuxsysadmin
3065,linuxnetadmin
3066,linuxsec
3067,drupal7dev
3068,linuxnetsec
3069,bashp1
3070,webdevphp1
3071,cloudcpt
3072,soaadv
3073,teeacmw
3074,UML
3076,3076
3077,drupaltheme
3079,osqlbgn
3080,osqladv
3081,aapdfc
3082,3082
3083,ailust
3084,aidsg
3085,pythonprog
3086,ddavsvbsqls
3087,xmlfund
3088,pythonprog
3089,3089
3090,3090
3091,xmladv
3092,3092
3093,communic
3094,3094
3095,exceldataanal
3096,3096
3098,3098
3099,3099
3100,3100
3104,excelstatsda
3105,3105
3106,excelstatsda
3107,3107
3108,3108
3109,3109
3110,3110
3111,3111
3112,3112
3113,excelstatsda
3114,sspsspas
3115,advspsspas
3116,samr
3117,excelfin
3119,3119
3121,3121
3134,3134
3136,umlea
3137,bpmnbu
3140,bpmna
3164,3164
3165,3165
3166,3166
3168,ocup-2-f100
3170,inksp
3172,sribcp
3243,aiadvip
3244,appe
3245,3245
3246,3246
3247,3247
3249,gfadm
3251,3251
3252,cpdff
3253,aprep
3306,3306
3307,adocap
3308,3308
3319,3319
3331,3331
3358,3358
3410,3410
3419,3419
3436,3436
3457,3457
3465,css3int
3487,dsgpatphp
3507,3507
3508,webdevphp
3516,jsjqmvc
3577,phppatref
3586,restapi
3587,3587
3592,qaci
3622,6hats
3626,3626
3627,3627
3628,scalaprog
3629,neuralnet
3630,jsadv
3631,opstcloud
3632,3632
3634,itilsm
3642,umlmdl
3646,3646
3698,tcpipprac
3699,ipv6und
3700,vvoip
3703,siptel
3710,pradtacacs
3711,ipsecvpn
3712,3712
3713,casapixo
3731,javafunmanven
3754,waaacdwtacacs
3755,waaacdwnpsr
3756,wciosd
3757,wpeapawscw
3800,wsbnp
3809,3809
3815,nodejs
3819,ocup-2-f100
3820,ocup-2-f100
3821,acsmv
3838,ocup-2-f100
3839,ooprog
3840,ocup-2-f100
3842,3842
3843,3843
3895,3895
3898,itilsm
3936,3936
3940,sysml
3945,gitcomp
3984,umlad
3985,umlad
4028,sqlfun
4029,sqlfun
4030,sqlfun
4077,drupal7adm1
4078,symfewf
4079,symfewf
4080,symfewf
5078,soastm
6550,6550
6551,vbaexcel
6552,6552
6553,UML
6554,UML
8033,drupal8dev
8035,rintro
8038,3041
8044,matlabprog
8088,perltextman
8146,drools6int
8152,noolsint
8164,practest
8166,8166
8518,orgmantes
8520,testistqb
8521,8521
8525,8525
8558,piwa
8843,irebcpre
8897,spnw
8949,pkwcirebcpre
8970,mwpm
8971,zwpagile
8972,zjopm
8973,zconfz
8975,pazzitsa
8976,zrpdpit
9386,9386
9969,rintro
9971,rintro
9972,rintro
15732,wppyth
15733,rubywp
15738,sqlfun
18277,pjruby
18366,excelvbai
19035,stats1
19041,msdxml
19042,msdxml
23214,zamysql
23217,bpmn2ba
23228,psum
23407,androiddev
23409,soad
23417,rdataana
23418,rubyrpz
23422,TesAutSel
23423,rdataana
23426,rdataana
23428,23428
23432,iotemi
23436,bdbiga
23439,bdbitcsp
23443,perftest
23510,rneuralnet
23527,compmlro
23543,23543
23716,cbpst
23717,ibsp
23718,finmrkts
28922,bpmn2ba
28926,sqlsqlsvr
28937,hadoopadm
28938,apacheh
28950,sysml
28951,debianadmin
28952,debianadmin
28956,sysml
28960,sysml
28961,sysml
28968,drupal8admin
28969,drupal8themes
28977,excelvbai
28996,sysml
29022,rmddvcs
29030,29030
29034,784
29035,784
29037,soagov
29047,bpmn2ba
29048,excelvbai
29369,excelvbai
29372,excelvbai
66209,datamin
66210,dpcs
66214,pwpf45
66215,pwpf45
66216,pwpf45
66217,pwpf45
66218,pwpf45
66219,pwpf45
66220,pwpf45
66221,pwpf45
66222,pwpf45
66223,pwpf45
66237,dpcs
66242,pjcs
66243,66243
66247,droolsrlsadm
66252,gitusers
66254,debianadmin
66255,debianadmin
66256,66256
66268,gitusers
66278,66278
66279,66279
66280,umlad
66290,statdm
66293,tapandroid
66296,29030
66297,29030
66298,29030
66299,29030
66300,29030
66301,29030
66302,29030
66303,29030
66308,frcr
66310,frcr
66315,scrumstep
66316,scrumstep
66317,scrumstep
66318,scrumstep
66319,scrumstep
66320,frcr
66321,scrumstep
66322,scrumstep
66323,scrumstep
66324,scrumstep
66348,frcr
66349,scrumstep
66355,pricestrat
66356,pricestrat
66360,pricestrat
66361,scrumstep
66362,pricestrat
66363,gitusers
66364,pricestrat
66365,agilescrum
66366,agilescrum
66367,agilescrum
66368,agilescrum
66371,agilescrum
66373,agilescrum
66374,agilescrum
66378,scrumstep
66379,agilescrum
66380,agilescrum
66384,agilescrum
66404,scrumstep
66405,pricestrat
66412,osqladv
66413,osqladv
66414,osqladv
66415,osqladv
66416,osqladv
66417,osqladv
66418,osqladv
66425,66425
66427,66427
66429,765
66432,765
66436,excelstatsda
66437,66437
66439,tapandroid
66440,tapandroid
66442,excelstatsda
66443,tapandroid
66444,drools6int
66445,drools6int
66450,drools6int
66464,tapandroid
66476,mrkfct
66477,mrkfct
66478,mrkfct
66479,drools6int
66510,23428
66511,23428
66512,23428
66513,23428
66514,23428
66515,23428
66516,23428
66517,23428
66518,23428
66527,gitusers
66528,gitusers
66529,3034
66530,3034
66531,3034
66532,3034
66533,3034
66534,3034
66535,3034
66536,3034
66537,pjfs
66538,66538
66540,3034
66541,66538
66542,66538
66545,vbaexcel
66546,vbaexcel
66547,vbaexcel
66548,vbaexcel
66549,vbaexcel
66550,vbaexcel
66551,symfewf
66552,symfewf
66553,symfewf
66554,symfewf
66555,symfewf
66556,symfewf
66557,symfewf
66558,symfewf
66559,3034
66560,javaeejboss
66561,javaeejboss
66562,javaeejboss
66563,msproj1
66566,msproj1
66567,msproj1
66568,3041
66569,3034
66570,3034
66571,3034
66572,3034
66573,3034
66574,3034
66575,3034
66576,3034
66577,3034
66578,3034
66580,3041
66581,3041
66582,3041
66583,3041
66584,3041
66585,3041
66586,msproj1
66590,msproj1
66591,vbaexcel
66592,vbaexcel
66593,vbaexcel
66594,vbaexcel
66595,vbaexceladv
66596,vbaexceladv
67358,vbaexceladv
67359,3041
67368,oceb2f100
67369,oceb2f100
67370,osqlbgn
67371,osqlbgn
67377,oceb2f100
67378,vbaexceladv
67379,vbaexceladv
67380,vbaexceladv
67381,vbaexceladv
67382,vbaexceladv
67383,vbaexceladv
67384,vbaexceladv
67399,3134
67400,solrfts
67401,solrfts
67403,jmeterfun
67404,jsajax
67405,jsajax
67406,scrummanexec
67407,jmeterfun
67408,pythonprog
67409,jmeterfun
67410,3134
67411,jmeterfun
67412,jsajax
67414,javaappsh
67415,javaappsh
67416,javaappsh
67417,d2dbdpa
67425,jsajax
67435,pythonprog
67445,3034
67446,3034
67447,3034
67448,3034
67449,3034
67450,3034
67451,3034
67452,3034
67453,3034
67454,3034
67466,excelstatsda
67467,excelstatsda
67468,excelstatsda
67469,excelstatsda
67470,excelstatsda
67471,excelstatsda
67472,excelstatsda
67473,mrkfct
67474,dsgpatphp
67475,dsgpatphp
67476,dsgpatphp
67477,umlad
67478,umlad
67481,osqlbgn
67501,osqlbgn
67505,TesAutSel
67506,TesAutSel
67507,TesAutSel
67508,TesAutSel
67509,TesAutSel
67510,TesAutSel
67511,TesAutSel
67517,TesAutSel
67518,excelvbai
67519,practest
67520,practest
67521,TesAutSel
67524,TesAutSel
67525,67525
67526,vbaexcel
67527,vbaexcel
67528,symfewf
67529,symfewf
67530,symfewf
67531,vbaexcel
67532,symfewf
67533,symfewf
67534,symfewf
67535,symfewf
67538,TesAutSel
67540,TesAutSel
67541,bldrools
67542,optaprac
67552,bappint
67555,TesAutSel
67556,TesAutSel
67558,vbaexcel
67559,vbaexcel
67560,vbaexcel
67561,vbaexcel
67562,vbaexcel
67563,vbaexcel
67564,vbaexcel
67565,3164
67566,3164
67567,3164
67568,3164
67569,3164
67570,3164
67571,3164
67572,3164
67584,jmeterfun
67585,pcvs2012
67586,pcvs2012
67587,pcvs2012
67588,TesAutSel
67589,ooprog
67590,ooprog
67591,ooprog
67592,67592
67593,excelstatsda
67594,mrkfct
67597,ecmloct
67598,msdxml
67601,excelstatsda
67603,osqlint
67604,vbaexceladv
67605,vbaexcel
67606,traintrainer
67607,vbaexceladv
67608,vbaexcel
67609,traintrainer
67610,vbaexcel
67611,traintrainer
